"","Title","Authors","Abstract","Published.Year","Published.Month","Journal","Volume","Issue","Pages","Accession.Number","DOI","Ref","Covidence..","Study","Notes","Tags","cld2","target","results"
"757","Patients' self-perceived strengths increase during treatment and predict outcome in outpatient cognitive behavioral therapy","Schurmann-Vengels, J.; Teismann, T.; Margraf, J.; Willutzki, U.","OBJECTIVE: Modern conceptualizations suggest the independence of positive and negative mental health constructs. Research of positive constructs in psychotherapy is scarce. This study analyzed the development of patients' strengths during psychotherapy and whether pre-therapy strengths incrementally predict treatment outcome. METHODS: Two hundred and two patients (56.44% female, mean age = 42.49) treated by 54 therapists underwent cognitive behavioral therapy. Patients' strengths in different contexts as well as psychopathology, interpersonal problems, and self-esteem were assessed at the beginning and end of therapy. RESULTS: Strengths increased in the contexts of everyday life (EvdayS; d = 0.44, p < 0.001) and current problems (ProbS; d = 0.70, p < 0.001). Strengths in the context of previous crises that were managed successfully (CrisesS) did not change. However, baseline scores of CrisesS were a significant incremental predictor of all outcomes. CONCLUSION: A differentiated assessment of positive constructs is useful for outcome prediction and the implementation of strength-based interventions. NA significant, significant NA",2022,"Dec","J Clin Psychol",78,"12","2427-2445",35334118,"10.1002/jclp.23352",NA,"#1341","Schurmann-Vengels 2022","Louis Schiekiera (2023-05-18 01:40:15)(Screen): mix; ","","en",0,"RESULTS: Strengths increased in the contexts of everyday life (EvdayS; d = 0.44, p < 0.001) and current problems (ProbS; d = 0.70, p < 0.001). Strengths in the context of previous crises that were managed successfully (CrisesS) did not change. However, baseline scores of CrisesS were a significant incremental predictor of all outcomes. CONCLUSION:"
"758","Distinct Functional Connectivity Signatures of Impaired Social Cognition in Multiple Sclerosis","Golde, S.; Heine, J.; Pottgen, J.; Mantwill, M.; Lau, S.; Wingenfeld, K.; Otte, C.; Penner, I. K.; Engel, A. K.; Heesen, C.; Stellmann, J. P.; Dziobek, I.; Finke, C.; Gold, S. M.","Objective: Multiple sclerosis (MS) is characterized by impairments in basic cognitive functions such as information processing speed as well as in more complex, higher-order domains such as social cognition. However, as these deficits often co-occur, it has remained challenging to determine whether they have a specific pathological basis or are driven by shared biology. Methods: To identify neural signatures of social cognition deficits in MS, data were analyzed from n = 29 patients with relapsing-remitting MS and n = 29 healthy controls matched for age, sex, and education. We used neuropsychological assessments of information processing speed, attention, learning, working memory, and relevant aspects of social cognition (theory of mind, emotion recognition (ER), empathy) and employed neuroimaging of CNS networks using resting-state functional connectivity. Results: MS patients showed significant deficits in verbal learning and memory, as well as implicit ER. Performance in these domains was uncorrelated. Functional connectivity analysis identified a distinct network characterized by significant associations between poorer ER and lower connectivity of the fusiform gyrus (FFG) with the right lateral occipital cortex, which also showed lower connectivity in patients compared to controls. Moreover, while ER was correlated with MS symptoms such as fatigue and motor/sensory functioning on a behavioral level, FFG connectivity signatures of social cognition deficits showed no overlap with these symptoms. Conclusions: Our analyses identify distinct functional connectivity signatures of social cognition deficits in MS, indicating that these alterations may occur independently from those in other neuropsychological functions. NA NA NA",2020,"2020/06/25","Front Neurol",11,"","507",32670178,"10.3389/fneur.2020.00507",NA,"#1342","Golde 2020","Louis Schiekiera (2023-06-16 22:54:54)(Screen): mix; ","","en",0,"Results: MS patients showed significant deficits in verbal learning and memory, as well as implicit ER. Performance in these domains was uncorrelated. Functional connectivity analysis identified a distinct network characterized by significant associations between poorer ER and lower connectivity of the fusiform gyrus (FFG) with the right lateral occipital cortex, which also showed lower connectivity in patients compared to controls. Moreover, while ER was correlated with MS symptoms such as fatigue and motor/sensory functioning on a behavioral level, FFG connectivity signatures of social cognition deficits showed no overlap with these symptoms. Conclusions:"
"759","Neural correlates of emotional distractibility in bipolar disorder patients, unaffected relatives, and individuals with hypomanic personality","Kanske, P.; Heissler, J.; Schonfelder, S.; Forneck, J.; Wessa, M.","OBJECTIVE: Neuropsychological deficits and emotion dysregulation are present in symptomatic and euthymic patients with bipolar disorder. However, there is little evidence on how cognitive functioning is influenced by emotion, what the neural correlates of emotional distraction effects are, and whether such deficits are a consequence or a precursor of the disorder. The authors used functional MRI (fMRI) to investigate these questions. METHOD: fMRI was used first to localize the neural network specific to a certain cognitive task (mental arithmetic) and then to test the effect of emotional distractors on this network. Euthymic patients with bipolar I disorder (N=22), two populations at high risk for developing the disorder (unaffected first-degree relatives of individuals with bipolar disorder [N=17]), and healthy participants with hypomanic personality traits [N=22]) were tested, along with three age-, gender-, and education-matched healthy comparison groups (N=22, N=17, N=24, respectively). RESULTS: There were no differences in performance or activation in the task network for mental arithmetic. However, while all participants exhibited slower responses when emotional distractors were present, this response slowing was greatly enlarged in bipolar patients. Similarly, task-related activation was generally increased under emotional distraction; however, bipolar patients exhibited a further increase in right parietal activation that correlated positively with the response slowing effect. CONCLUSIONS: The results suggest that emotional dysregulation leads to exacerbated neuropsychological deficits in bipolar patients, as evidenced by behavioral slowing and task-related hyperactivation. The lack of such a deficit in high-risk populations suggests that it occurs only after disease onset, rather than representing a vulnerability marker. NA NA NA",2013,"Dec","Am J Psychiatry",170,"12","1487-96",23982186,"10.1176/appi.ajp.2013.12081044",NA,"#1343","Kanske 2013","Louis Schiekiera (2023-05-17 06:37:39)(Screen): mix; ","","en",0,"RESULTS: There were no differences in performance or activation in the task network for mental arithmetic. However, while all participants exhibited slower responses when emotional distractors were present, this response slowing was greatly enlarged in bipolar patients. Similarly, task-related activation was generally increased under emotional distraction; however, bipolar patients exhibited a further increase in right parietal activation that correlated positively with the response slowing effect. CONCLUSIONS:"
"760","Food through the child's eye: An eye-tracking study on attentional bias for food in healthy-weight children and children with obesity","Werthmann, J.; Jansen, A.; Vreugdenhil, A. C.; Nederkoorn, C.; Schyns, G.; Roefs, A.","OBJECTIVE: Obesity prevalence among children is high and knowledge on cognitive factors that contribute to children's reactivity to the ""obesogenic"" food environment could help to design effective treatment and prevention campaigns. Empirical studies in adults suggest that attention bias for food could be a risk factor for overeating. Accordingly, the current study tested if children with obesity have an elevated attention bias for food when compared to healthy-weight children. Another aim was to explore whether attention biases for food predicted weight-change after 3 and 6 months in obese children. METHOD: Obese children (n = 34) were recruited from an intervention program and tested prior to the start of this intervention. Healthy-weight children (n = 36) were recruited from local schools. First, attention biases for food were compared between children with obesity (n = 30) and matched healthy-weight children (n = 30). Second, regression analyses were conducted to test if food-related attention biases predicted weight changes after 3 and 6 months in children with obesity following a weight loss lifestyle intervention. RESULTS: Results showed that obese children did not differ from healthy-weight children in their attention bias to food. Yet automatically directing attention toward food (i.e., initial orientation bias) was related to a reduced weight loss (R(2) = .14, p = .032) after 6 months in children with obesity. DISCUSSION: High palatable food is a salient stimulus for all children, irrespective of their weight status. However, automatically directing attention to food cues might facilitate further weight gain in children with obesity. significant NA NA",2015,"Dec","Health Psychol",34,"12","1123-32",26030311,"10.1037/hea0000225",NA,"#1346","Werthmann 2015","Louis Schiekiera (2023-06-13 19:47:23)(Screen): mix; ","","en",0,"RESULTS: Results showed that obese children did not differ from healthy-weight children in their attention bias to food. Yet automatically directing attention toward food (i.e., initial orientation bias) was related to a reduced weight loss (R(2) = .14, p = .032) after 6 months in children with obesity. DISCUSSION:"
"761","Exposure and CBT for chronic back pain: An RCT on differential efficacy and optimal length of treatment","Glombiewski, J. A.; Holzapfel, S.; Riecke, J.; Vlaeyen, J. W. S.; de Jong, J.; Lemmer, G.; Rief, W.","OBJECTIVE: Our aim was to establish whether Exposure, a specialized tailored treatment for chronic low back pain, has any advantages over cognitive-behavioral therapy (CBT) among individuals with high fear-avoidance levels. Second, we planned to compare short and long versions of Exposure. Third, we aimed to investigate whether Exposure can be delivered in an outpatient psychological setting. METHOD: A total of 88 Caucasian participants (55% women) were randomized to three different psychological treatment conditions, Exposure-long, Exposure-short, and CBT. All participants were suffering from chronic pain and elevated levels of pain-related anxiety and disability. The primary outcomes were disability (assessed using two different questionnaires, QBPDS and PDI) and average pain intensity; secondary outcomes included pain-related anxiety, psychological flexibility, coping strategies, and depression. Assessments took place at pretreatment, midtreatment, posttreatment, and 6-month follow-up. RESULTS: Exposure was more effective than CBT at reducing movement-related disability assessed with the QBPDS. Exposure and CBT did not differ in reduction of pain intensity or disability assessed using the PDI. Exposure-short outperformed Exposure-long after 10 sessions, meaning that individuals improved faster when they were offered fewer sessions. Exposure could be safely delivered in the psychological setting. Concerning secondary outcomes, Exposure led to greater improvements in psychological flexibility relative to CBT. CBT was more effective than Exposure at enhancing coping strategies. In Exposure, significantly more participants dropped out. CONCLUSIONS: Although being more challenging to patients, Exposure is an effective treatment, which can be delivered in a psychological treatment setting and should be offered as a short-term treatment. (PsycINFO Database Record NA NA NA",2018,"Jun","J Consult Clin Psychol",86,"6","533-545",29781651,"10.1037/ccp0000298",NA,"#1347","Glombiewski 2018","Louis Schiekiera (2023-05-17 06:38:13)(Screen): mix; ","","en",0,"RESULTS: Exposure was more effective than CBT at reducing movement-related disability assessed with the QBPDS. Exposure and CBT did not differ in reduction of pain intensity or disability assessed using the PDI. Exposure-short outperformed Exposure-long after 10 sessions, meaning that individuals improved faster when they were offered fewer sessions. Exposure could be safely delivered in the psychological setting. Concerning secondary outcomes, Exposure led to greater improvements in psychological flexibility relative to CBT. CBT was more effective than Exposure at enhancing coping strategies. In Exposure, significantly more participants dropped out. CONCLUSIONS:"
"762","Overactive Performance Monitoring as an Endophenotype for Obsessive-Compulsive Disorder: Evidence From a Treatment Study","Riesel, A.; Endrass, T.; Auerbach, L. A.; Kathmann, N.","OBJECTIVE: Overactive performance monitoring, as measured by the error-related negativity in the event-related brain potential, represents one of the most robust psychophysiological alterations in obsessive-compulsive disorder (OCD). It has been proposed as an endophenotype for OCD because it is heritable and more prevalent in families of OCD patients. Consistent with this notion, it is also independent of symptom profile and symptom severity in cross-sectional studies. Longitudinally, it has been shown to be state independent in pediatric patients with OCD. The purpose of the present study was to investigate the state dependency of error monitoring by examining adult OCD patients before and after symptom reduction through cognitive-behavioral therapy (CBT). METHOD: Error-related and correct-related negativity as electrophysiological indicators of performance monitoring were recorded from 45 OCD patients and 39 healthy comparison subjects while performing a flanker task. Patients were assessed before starting and after completing a standard 30-session CBT, including exposure and response prevention, and healthy comparison subjects were tested after a comparable time interval. RESULTS: Pretreatment, patients with OCD were characterized by enhanced error-related and correct-related negativity compared with healthy comparison subjects. This difference persisted after treatment when symptoms were substantially reduced. There was no significant correlation between symptom improvement and changes in performance monitoring and no difference in performance monitoring between treatment responders and nonresponders. CONCLUSIONS: This is the first longitudinal study in adult OCD patients showing stability of enhanced error monitoring following successful symptom reduction through CBT. It supports the hypothesis that overactive performance monitoring is an endophenotype that indicates vulnerability for OCD. NA NA NA",2015,"Jul","Am J Psychiatry",172,"7","665-73",25783756,"10.1176/appi.ajp.2014.14070886",NA,"#1348","Riesel 2015","Louis Schiekiera (2023-05-17 06:38:40)(Screen): mix; ","","en",0,"RESULTS: Pretreatment, patients with OCD were characterized by enhanced error-related and correct-related negativity compared with healthy comparison subjects. This difference persisted after treatment when symptoms were substantially reduced. There was no significant correlation between symptom improvement and changes in performance monitoring and no difference in performance monitoring between treatment responders and nonresponders. CONCLUSIONS:"
"763","A psycho-oncological online intervention supporting partners of patients with cancer (PartnerCARE): Results from a randomized controlled feasibility trial","Bodschwinna, D.; Lorenz, I.; Bauereiss, N.; Gundel, H.; Baumeister, H.; Honig, K.","OBJECTIVE: Partners of cancer patients are the primary supporters and burdened at the same time. Support for partners is hitherto scarce and existing offers are rarely used. The PartnerCARE online intervention was specifically developed to address the caregiving partners' needs. This two-arm parallel randomized controlled trial (RCT) evaluates the feasibility, acceptability, and potential efficacy of PartnerCARE. METHODS: Sixty German-speaking partners of patients with various cancer entities were randomized into two conditions: intervention group (IG) with PartnerCARE (N = 30) or waitlist-control group (N = 30). Participants completed online questionnaires at baseline (T0), post-treatment (T1) and 4-months follow-up (T2). Feasibility and acceptability outcomes included dropout rates, use and acceptance of PartnerCARE, individual user/e-coach feedback as well as negative effects. Relevant efficacy outcomes were assessed to test for potential intervention effects. RESULTS: Recruitment success illustrates demand for and acceptability of PartnerCARE. Satisfaction with the intervention was high (Client Satisfaction Questionnaire adapted to Internet-based interventions, T1: M = 24.66, SD = 6.42) and 73.3% of participants completed the intervention. Study dropout rate was low (T1: 17%, T2: 29%). More positive than negative side effects of the intervention were identified, and negative ones were mainly related to ""intrapersonal change"". For efficacy outcomes we found effects over time, with strongest effects within the IG from T0 to T1 in psychological distress (d = 0.73, 95%-CI: [0.34; 1.12]) and anxiety (0.66, [0.26; 1.04]), but no group effects were significant at T1 and T2. CONCLUSIONS: PartnerCARE is feasible, acceptable and potentially efficacious. Based on received feedback, PartnerCARE is currently undergoing further development and subsequently efficacy will be investigated in a RCT. TRIAL REGISTRATION: German Clinical Trial Registration: DRKS00017019. Registered on 08 April 2019. NA NA NA",2022,"Jul","Psychooncology",31,"7","1230-1242",35233880,"10.1002/pon.5917",NA,"#1350","Bodschwinna 2022","Jonathan Diederichs (2023-05-31 00:33:19)(Screen): mix; ","","en",0,"RESULTS: Recruitment success illustrates demand for and acceptability of PartnerCARE. Satisfaction with the intervention was high (Client Satisfaction Questionnaire adapted to Internet-based interventions, T1: M = 24.66, SD = 6.42) and 73.3% of participants completed the intervention. Study dropout rate was low (T1: 17%, T2: 29%). More positive than negative side effects of the intervention were identified, and negative ones were mainly related to ""intrapersonal change"". For efficacy outcomes we found effects over time, with strongest effects within the IG from T0 to T1 in psychological distress (d = 0.73, 95%-CI: [0.34; 1.12]) and anxiety (0.66, [0.26; 1.04]), but no group effects were significant at T1 and T2. CONCLUSIONS:"
"764","Dyadic coping and social support: Various types of support in hematooncological patients and their spouses-Associations with psychological distress","Bodschwinna, D.; Ernst, J.; Mehnert-Theuerkauf, A.; Gundel, H.; Weissflog, G.; Honig, K.","OBJECTIVE: Patients and spouses use various support strategies to deal with cancer and its associated burden. Support can be perceived within the dyad [perceived dyadic coping (PDC)] or from others [perceived social support (PSS)]. The present study investigates the association of PDC and PSS with depression and anxiety symptoms experienced by hematooncological dyads. METHODS: A total of 330 hematooncological dyads participated in the study. Dyadic Coping Inventory (DCI) including perceived stress communication and four PDC strategies (supportive, negative, delegated, common), ENRICHED Social Support Instrument (ESSI) and Patient Health Questionnaire-4 (PHQ-4) are used for assessment. To take nonindependence of patient's and spouse's variables into account, data are analyzed with the Actor-partner-interdependence model (APIM). RESULTS: Hematological cancer patients and their spouses reported a similar level of depression and anxiety symptoms. Perceived negative dyadic coping (DC) was adversely related with both patient's and spouse's outcomes (all p < 0.01) and perceived positive DC was adversely related with depression symptoms in both and anxiety symptoms in spouses (all p < 0.05). More PSS was associated with less depression and anxiety symptoms in both (all p < 0.05), and spouse's PSS (b = -0.04, p < 0.05) was significantly associated with patient's depression symptoms. CONCLUSIONS: This study highlights the association between perceived negative DC, perceived positive DC and PSS with depression and anxiety symptoms. Focus should be on enhancement of PSS especially in spouses, as they experience a comparable amount of psychosocial distress and have considerable impact on the patient's wellbeing. NA significant, significant, significant, significant NA",2021,"Jul","Psychooncology",30,"7","1041-1050",33474778,"10.1002/pon.5631",NA,"#1351","Bodschwinna 2021","Louis Schiekiera (2023-05-18 00:11:30)(Screen): pos; ","","en",1,"RESULTS: Hematological cancer patients and their spouses reported a similar level of depression and anxiety symptoms. Perceived negative dyadic coping (DC) was adversely related with both patient's and spouse's outcomes (all p < 0.01) and perceived positive DC was adversely related with depression symptoms in both and anxiety symptoms in spouses (all p < 0.05). More PSS was associated with less depression and anxiety symptoms in both (all p < 0.05), and spouse's PSS (b = -0.04, p < 0.05) was significantly associated with patient's depression symptoms. CONCLUSIONS:"
"765","Blunted emotion-modulated startle reflex in anorexia nervosa","Brockmeyer, T.; Pellegrino, J.; Maier, C.; Munch, H. M.; Harmer, C. J.; Walther, S.; Herzog, W.; Friederich, H. C.","OBJECTIVE: Patients with anorexia nervosa (AN) often show difficulties in the perception, expression, and regulation of emotions and a strong avoidance of aversive feelings. According to psychobiological models, dietary restraint and accompanying weight loss may serve as a maladaptive mechanism of emotion regulation by attenuating aversive emotional states in AN, thereby contributing to the maintenance of the disorder. METHOD: Twenty-seven women with AN and 26 age-matched healthy women were shown short film-clips to elicit fear, sadness, amusement, and neutral emotional states. Eyeblink startle response was measured by electromyography in reaction to startle-eliciting acoustic stimuli presented 12 times binaurally during each film-clip. RESULTS: As compared to healthy controls, patients with AN showed a blunted startle response to the fear- but not to the sadness-eliciting stimulus. DISCUSSION: The findings support the assumption that underweight is associated with attenuated emotional reactivity to fear-eliciting material in AN. This is in line with the hypothesis that starvation and low body weight constitute a maladaptive mechanism of emotion regulation in AN, contributing to the maintenance of the disorder. NA NA NA",2019,"Mar","Int J Eat Disord",52,"3","270-277",30653688,"10.1002/eat.23022",NA,"#1352","Brockmeyer 2019","Louis Schiekiera (2023-06-14 21:59:35)(Screen): mix; ","","en",0,"RESULTS: As compared to healthy controls, patients with AN showed a blunted startle response to the fear- but not to the sadness-eliciting stimulus. DISCUSSION:"
"766","Oxytocin and reduction of social threat hypersensitivity in women with borderline personality disorder","Bertsch, K.; Gamer, M.; Schmidt, B.; Schmidinger, I.; Walther, S.; Kastel, T.; Schnell, K.; Buchel, C.; Domes, G.; Herpertz, S. C.","OBJECTIVE: Patients with borderline personality disorder are characterized by emotional hyperarousal with increased stress levels, anger proneness, and hostile, impulsive behaviors. They tend to ascribe anger to ambiguous facial expressions and exhibit enhanced and prolonged reactions in response to threatening social cues, associated with enhanced and prolonged amygdala responses. Because the intranasal administration of the neuropeptide oxytocin has been shown to improve facial recognition and to shift attention away from negative social information, the authors investigated whether borderline patients would benefit from oxytocin administration. METHOD: In a randomized placebo-controlled double-blind group design, 40 nonmedicated, adult female patients with a current DSM-IV diagnosis of borderline personality disorder (two patients were excluded based on hormonal analyses) and 41 healthy women, matched on age, education, and IQ, took part in an emotion classification task 45 minutes after intranasal administration of 26 IU of oxytocin or placebo. Dependent variables were latencies and number or initial reflexive eye movements measured by eye tracking, manual response latencies, and blood-oxygen-level-dependent responses of the amygdala to angry and fearful compared with happy facial expressions. RESULTS: Borderline patients exhibited more and faster initial fixation changes to the eyes of angry faces combined with increased amygdala activation in response to angry faces compared with the control group. These abnormal behavioral and neural patterns were normalized after oxytocin administration. CONCLUSIONS: Borderline patients exhibit a hypersensitivity to social threat in early, reflexive stages of information processing. Oxytocin may decrease social threat hypersensitivity and thus reduce anger and aggressive behavior in borderline personality disorder or other psychiatric disorders with enhanced threat-driven reactive aggression. NA NA NA",2013,"Oct","Am J Psychiatry",170,"10","1169-77",23982273,"10.1176/appi.ajp.2013.13020263",NA,"#1353","Bertsch 2013","Louis Schiekiera (2023-06-14 22:00:18)(Screen): pos; ","","en",1,"RESULTS: Borderline patients exhibited more and faster initial fixation changes to the eyes of angry faces combined with increased amygdala activation in response to angry faces compared with the control group. These abnormal behavioral and neural patterns were normalized after oxytocin administration. CONCLUSIONS:"
"767","Efficacy of Heart Rate Variability Biofeedback for Somatic Symptom Disorder: A Pilot Randomized Controlled Trial","Krempel, L.; Martin, A.","OBJECTIVE: Patients with somatic symptom disorder (SSD) often receive targeted intervention only after a long duration of illness. Moreover, the reported effect sizes of interventions for SSD are small. Therefore, improvement and evaluation of interventions are needed. Preliminary evidence suggests autonomic imbalance, for example, lower heart rate variability (HRV) in SSD. HRV biofeedback (HRV-BF) as a method for self-regulation shows initial positive effects in chronic pain and functional syndromes. The aim of this study was to evaluate the efficacy of a brief HRV-BF intervention for SSD. METHODS: Of a total of 50 participants with SSD ( Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition ) who were recruited and randomly assigned to four sessions of HRV-BF ( n = 25) or autogenic training (AT; n = 25), 49 participants were analyzed (female, 77.6%; mean [standard deviation] age = 45.3 [14.4] years). The primary outcomes were somatic symptom severity (Screening for Somatoform Disorders, numeric rating scale) and HRV. Secondary outcomes were psychological characteristics of SSD (e.g., the Somatic Symptom Disorder 12 scale, health concerns, emotion regulation). The data were collected before and after intervention and were analyzed with repeated-measures analyses of variance and post hoc t tests. RESULTS: Symptom severity improved after both, HRV-BF and AT. Standard Deviation of the NN Interval and psychological symptoms improved significantly more strongly in the HRV-BF than in the AT group (e.g., Standard Deviation of the NN Interval: etap2 interaction = 0.10, p = .047). CONCLUSIONS: The improvements in somatic symptoms, but specifically in cognitive-affective symptoms and autonomic regulation, suggest that HRV-BF with only four sessions is a potentially useful intervention option for SSD. Thus, adding this short HRV-BF intervention to existing psychological treatments for SSD may be promising.Trial Registration : German Clinical Trial Register identifier DRKS00017099 ( https://www.drks.de ). significant NA NA",2023,"Jan 1","Psychosom Med",85,"1","61-70",36201761,"10.1097/PSY.0000000000001143",NA,"#1354","Krempel 2023","Jonathan Diederichs (2023-05-18 23:42:59)(Screen): pos; ","","en",1,"RESULTS: Symptom severity improved after both, HRV-BF and AT. Standard Deviation of the NN Interval and psychological symptoms improved significantly more strongly in the HRV-BF than in the AT group (e.g., Standard Deviation of the NN Interval: etap2 interaction = 0.10, p = .047). CONCLUSIONS:"
"768","Preliminary evidence for increased parasympathetic activity during social inclusion and exclusion in adolescents with functional abdominal pain","Gulewitsch, M. D.; Jusyte, A.; Mazurak, N.; Weimer, K.; Schonenberg, M.","OBJECTIVE: Peer victimization (e.g. social exclusion) has been shown to be associated with physical health problems such as functional somatic complaints and especially symptoms of pain. To date, no study has investigated the mechanisms underlying this association in clinical pediatric samples. The aim of this study was to evaluate the parasympathetic activity during a social exclusion experience in adolescents with functional abdominal pain (FAP). METHODS: Twenty adolecents with FAP and 21 matched healthy participants were compared regarding parameters of parasympathetic activation before, during, and after participating in the Cyberball-game, a well-established paradigm to induce social exclusion. RESULTS: Adolescents with FAP showed an increase in parasympathetic activation during both consecutive phases of the Cyberball game (inclusion as well as exclusion condition) whereas the healthy control group remained stable. There were no differences in subjective experience of in- and exclusion between the groups. CONCLUSION: The parasympathetic activation pattern may indicate altered processing of social stimuli in adolescents with FAP. NA NA NA",2017,"Jul","J Psychosom Res",98,"","106-112",28554365,"10.1016/j.jpsychores.2017.05.008",NA,"#1357","Gulewitsch 2017","Louis Schiekiera (2023-06-14 17:06:07)(Screen): mix; ","","en",0,"RESULTS: Adolescents with FAP showed an increase in parasympathetic activation during both consecutive phases of the Cyberball game (inclusion as well as exclusion condition) whereas the healthy control group remained stable. There were no differences in subjective experience of in- and exclusion between the groups. CONCLUSION:"
"769","Number of teeth predict depressive symptoms in a longitudinal study on patients with periodontal disease","Ehrenthal, J. C.; Graetz, C.; Plaumann, A.; Dorfer, C. E.; Herzog, W.","OBJECTIVE: Periodontal disease is associated with a wide range of psychosocial risk-factors. Disease-related tooth-loss has been associated with an increase in depressive symptoms in cross-sectional studies. However, while depression is a known risk-factor for the outcome of chronic diseases, it remains unclear if tooth loss can also predict depressive symptoms over the course of treatment. Aim of the current pilot study was to test, to what extend the number of teeth predict depressive symptoms several years later. METHODS: Tooth status of 310 patients with chronic and aggressive periodontitis was evaluated at the beginning of a specialized, university based outpatient treatment. We assessed depressive symptoms with the Patient Heath Questionnaire (PHQ) on average 13years later. Regression analyses were used to relate initial number of teeth to self-reported depression scores. RESULTS: Fewer teeth at the beginning of the treatment were related to higher scores of depressive symptoms, even when controlling for several covariates. CONCLUSIONS: Tooth loss is a potential risk-factor for the development of depression in periodontal disease. Further longitudinal studies that control for initial depressive symptoms are needed to identify disease mechanisms. NA NA NA",2016,"Oct","J Psychosom Res",89,"","16-9",27663105,"10.1016/j.jpsychores.2016.08.002",NA,"#1358","Ehrenthal 2016","Louis Schiekiera (2023-06-07 00:55:50)(Screen): pos; ","","en",1,"RESULTS: Fewer teeth at the beginning of the treatment were related to higher scores of depressive symptoms, even when controlling for several covariates. CONCLUSIONS:"
"770","Internet-based CBT for somatic symptom distress (iSOMA) in emerging adults: A randomized controlled trial","Hennemann, S.; Bohme, K.; Kleinstauber, M.; Baumeister, H.; Kuchler, A. M.; Ebert, D. D.; Witthoft, M.","OBJECTIVE: Persistent somatic symptom distress is common in emerging adults and is associated with adverse health outcomes and impairment. Internet-based interventions could help to prevent burden and chronicity. This randomized controlled trial tested the efficacy of a guided, cognitive-behavioral internet intervention for somatic symptom distress (iSOMA) in emerging adults at risk for somatic symptom disorder compared to a waitlist control condition. METHOD: 158 participants (N = 156 analyzed; 24.53 years, 83.3% female) with multiple somatic symptoms were recruited among German-speaking universities and randomly allocated to either receive the 8-week iSOMA intervention with psychologist support or the waitlist, both with access to treatment as usual. Primary outcomes were somatic symptom distress Patient Health Questionnaire, somatic symptom scale (PHQ-15) and psychobehavioral features of somatic symptom disorder-12 (SSD-12), assessed at baseline and 8-weeks postrandomization. Secondary outcomes included depression, anxiety, illness worries, functional impairment, and attitudes toward psychological treatment. RESULTS: Participants in the iSOMA group showed significantly greater improvements (ps < .001) in primary outcomes (PHQ-15: d = 0.70 [0.36, 1.05], SSD-12: d = 0.65 [0.30, 0.99], and secondary outcomes (ps < .05; d = 0.41-0.52) compared to the waitlist, except for attitudes toward psychological treatment (p = .944). Satisfaction with iSOMA was high (91.0%), most participants (72.8%) completed at least 4 of 7 modules and negative treatment effects were infrequent (14.9%). CONCLUSIONS: Our intervention had a substantial positive impact on somatic symptom distress across a broad range of persistent physical symptoms in a vulnerable target group, opening up promising possibilities for indicative prevention and blended care for somatic symptom disorders. (PsycInfo Database Record (c) 2022 APA, all rights reserved). nonsignificant NA NA",2022,"Apr","J Consult Clin Psychol",90,"4","353-365",35175070,"10.1037/ccp0000707",NA,"#1359","Hennemann 2022","Louis Schiekiera (2023-05-18 01:13:13)(Screen): mix; ","","en",0,"RESULTS: Participants in the iSOMA group showed significantly greater improvements (ps < .001) in primary outcomes (PHQ-15: d = 0.70 [0.36, 1.05], SSD-12: d = 0.65 [0.30, 0.99], and secondary outcomes (ps < .05; d = 0.41-0.52) compared to the waitlist, except for attitudes toward psychological treatment (p = .944). Satisfaction with iSOMA was high (91.0%), most participants (72.8%) completed at least 4 of 7 modules and negative treatment effects were infrequent (14.9%). CONCLUSIONS:"
